t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.02,35,37.54,True,,False,1064.4949657142856,0,0
2.04,35,37.42,True,,False,1061.0922114285715,0,0
3.04,35,37.5,True,,False,1063.3607142857143,0,0
4.07,35,37.46,True,,False,1062.226462857143,0,0
5.0,35,37.46,True,,False,1062.226462857143,0,0
6.01,35,37.53,True,,False,1064.211402857143,0,0
7.05,35,37.46,True,,False,1062.226462857143,0,0
8.02,35,37.54,True,,False,1064.4949657142856,0,0
9.03,35,37.47,True,,False,1062.5100257142856,0,0
10.0,35,37.46,True,,False,1062.226462857143,0,0
11.02,35,37.5,True,,False,1063.3607142857143,0,0
12.03,35,37.49,True,,False,1063.0771514285716,0,0
13.05,35,37.57,True,,False,1065.3456542857143,0,0
14.0,35,37.49,True,,False,1063.0771514285716,0,0
15.02,35,37.56,True,,False,1065.0620914285716,0,0
16.01,35,37.52,True,,False,1063.9278400000003,0,0
17.03,35,37.52,True,,False,1063.9278400000003,0,0
18.05,35,37.6,True,,False,1066.196342857143,0,0
19.01,35,37.52,True,,False,1063.9278400000003,0,0
20.02,35,37.6,True,,False,1066.196342857143,0,0
21.03,35,37.54,True,,False,1064.4949657142856,0,0
22.02,35,37.58,True,,False,1065.629217142857,0,0
23.04,35,37.59,True,,False,1065.91278,0,0
24.05,35,37.55,True,,False,1064.7785285714285,0,0
25.04,35,37.63,True,,False,1067.0470314285715,0,0
26.0,35,37.54,True,,False,1064.4949657142856,0,0
27.01,35,37.61,True,,False,1066.4799057142857,0,0
28.02,35,37.59,True,,False,1065.91278,0,0
29.0,35,37.57,True,,False,1065.3456542857143,0,0
30.05,35,37.66,True,,False,1067.89772,0,0
31.01,35,37.58,True,,False,1065.629217142857,0,0
32.02,35,37.66,True,,False,1067.89772,0,0
33.03,35,37.61,True,,False,1066.4799057142857,0,0
34.03,35,37.61,True,,False,1066.4799057142857,0,0
35.04,35,37.63,True,,False,1067.0470314285715,0,0
36.0,35,37.59,True,,False,1065.91278,0,0
37.01,35,37.68,True,,False,1068.4648457142857,0,0
38.01,35,37.59,True,,False,1065.91278,0,0
39.03,35,37.66,True,,False,1067.89772,0,0
40.03,35,37.64,True,,False,1067.3305942857144,0,0
41.04,35,37.61,True,,False,1066.4799057142857,0,0
42.04,35,37.69,True,,False,1068.7484085714284,0,0
43.05,35,37.61,True,,False,1066.4799057142857,0,0
44.01,35,37.68,True,,False,1068.4648457142857,0,0
45.01,35,37.63,True,,False,1067.0470314285715,0,0
46.01,35,37.65,True,,False,1067.614157142857,0,0
47.03,35,37.66,True,,False,1067.89772,0,0
48.07,35,37.64,True,,False,1067.3305942857144,0,0
49.04,35,37.7,True,,False,1069.0319714285715,0,0
50.01,35,37.63,True,,False,1067.0470314285715,0,0
51.03,35,37.69,True,,False,1068.7484085714284,0,0
52.05,35,37.66,True,,False,1067.89772,0,0
53.03,35,37.66,True,,False,1067.89772,0,0
54.02,35,37.71,True,,False,1069.3155342857144,0,0
55.04,35,37.64,True,,False,1067.3305942857144,0,0
56.04,35,37.71,True,,False,1069.3155342857144,0,0
57.05,35,37.67,True,,False,1068.181282857143,0,0
58.01,35,37.68,True,,False,1068.4648457142857,0,0
59.02,35,37.69,True,,False,1068.7484085714284,0,0
60.04,35,37.66,True,,False,1067.89772,0,0
61.05,35,37.72,True,,False,1069.599097142857,0,0
62.0,35,37.66,True,,False,1067.89772,0,0
63.01,35,37.71,True,,False,1069.3155342857144,0,0
64.03,35,37.68,True,,False,1068.4648457142857,0,0
65.04,35,37.67,True,,False,1068.181282857143,0,0
66.01,35,37.73,True,,False,1069.88266,0,0
67.04,35,37.66,True,,False,1067.89772,0,0
68.05,35,37.74,True,,False,1070.1662228571429,0,0
69.04,35,37.7,True,,False,1069.0319714285715,0,0
70.02,35,37.69,True,,False,1068.7484085714284,0,0
71.01,35,37.71,True,,False,1069.3155342857144,0,0
72.02,35,37.68,True,,False,1068.4648457142857,0,0
73.04,35,37.74,True,,False,1070.1662228571429,0,0
74.04,35,37.66,True,,False,1067.89772,0,0
75.05,35,37.72,True,,False,1069.599097142857,0,0
76.0,35,37.7,True,,False,1069.0319714285715,0,0
77.03,35,37.68,True,,False,1068.4648457142857,0,0
78.05,35,37.74,True,,False,1070.1662228571429,0,0
79.01,35,37.68,True,,False,1068.4648457142857,0,0
80.01,35,37.74,True,,False,1070.1662228571429,0,0
81.02,35,37.7,True,,False,1069.0319714285715,0,0
82.04,35,37.7,True,,False,1069.0319714285715,0,0
83.05,35,37.72,True,,False,1069.599097142857,0,0
84.02,35,37.69,True,,False,1068.7484085714284,0,0
85.03,35,37.75,True,,False,1070.4497857142858,0,0
86.02,35,37.68,True,,False,1068.4648457142857,0,0
87.03,35,37.73,True,,False,1069.88266,0,0
88.03,35,37.71,True,,False,1069.3155342857144,0,0
89.01,35,37.69,True,,False,1068.7484085714284,0,0
90.02,35,37.75,True,,False,1070.4497857142858,0,0
91.03,35,37.69,True,,False,1068.7484085714284,0,0
92.04,35,37.74,True,,False,1070.1662228571429,0,0
93.0,35,37.7,True,,False,1069.0319714285715,0,0
94.01,35,37.71,True,,False,1069.3155342857144,0,0
95.02,35,37.73,True,,False,1069.88266,0,0
96.05,35,37.69,True,,False,1068.7484085714284,0,0
97.0,35,37.76,True,,False,1070.7333485714285,0,0
98.03,35,37.71,True,,False,1069.3155342857144,0,0
99.03,35,37.73,True,,False,1069.88266,0,0
100.04,35,37.71,True,,False,1069.3155342857144,0,0
101.02,35,37.71,True,,False,1069.3155342857144,0,0
102.02,35,37.76,True,,False,1070.7333485714285,0,0
103.02,35,37.7,True,,False,1069.0319714285715,0,0
104.03,35,37.76,True,,False,1070.7333485714285,0,0
105.04,35,37.72,True,,False,1069.599097142857,0,0
106.0,35,37.72,True,,False,1069.599097142857,0,0
107.01,35,37.74,True,,False,1070.1662228571429,0,0
108.04,35,37.71,True,,False,1069.3155342857144,0,0
109.01,35,37.77,True,,False,1071.0169114285716,0,0
110.03,35,37.7,True,,False,1069.0319714285715,0,0
111.0,35,37.75,True,,False,1070.4497857142858,0,0
112.04,35,37.73,True,,False,1069.88266,0,0
113.04,35,37.72,True,,False,1069.599097142857,0,0
114.0,35,37.76,True,,False,1070.7333485714285,0,0
115.01,35,37.72,True,,False,1069.599097142857,0,0
116.01,35,37.77,True,,False,1071.0169114285716,0,0
117.02,35,37.74,True,,False,1070.1662228571429,0,0
118.03,35,37.72,True,,False,1069.599097142857,0,0
119.04,35,37.75,True,,False,1070.4497857142858,0,0
120.05,35,37.72,True,,False,1069.599097142857,0,0
121.02,35,37.78,True,,False,1071.3004742857145,0,0
122.02,35,37.71,True,,False,1069.3155342857144,0,0
123.04,35,37.77,True,,False,1071.0169114285716,0,0
124.05,35,37.75,True,,False,1070.4497857142858,0,0
125.0,35,37.72,True,,False,1069.599097142857,0,0
126.02,35,37.79,True,,False,1071.5840371428571,0,0
127.02,35,37.73,True,,False,1069.88266,0,0
128.03,35,37.79,True,,False,1071.5840371428571,0,0
129.04,35,37.74,True,,False,1070.1662228571429,0,0
130.01,35,37.75,True,,False,1070.4497857142858,0,0
131.0,35,37.77,True,,False,1071.0169114285716,0,0
132.02,35,37.73,True,,False,1069.88266,0,0
133.03,35,37.8,True,,False,1071.8676,0,0
134.03,35,37.72,True,,False,1069.599097142857,0,0
135.04,35,37.77,True,,False,1071.0169114285716,0,0
136.01,35,37.75,True,,False,1070.4497857142858,0,0
